arm,repeat,job_id,label,algorithm,threads,iteration,start_offset,window_seconds,start_epoch_ms,start_since_arm_ms,wall_ms,time_seconds,mops_total,total_threads,avail_threads,overran_window,pid,exit_code
drm,3,4,J04_cg,cg,32,2,13.773,47.096,1788485619398,37734,18798,16.52,8675.89,8,32,false,78887,0
drm,3,4,J04_cg,cg,32,3,13.773,47.096,1788485638697,57034,15040,12.84,11161.18,10,32,true,79017,0
drm,3,5,J05_cg,cg,32,1,19.698,87.101,1788485601362,19698,28812,26.34,5442.18,8,32,false,78752,0
drm,3,5,J05_cg,cg,32,2,19.698,87.101,1788485630675,49011,23202,21.06,6805.8,16,32,false,78980,0
drm,3,5,J05_cg,cg,32,3,19.698,87.101,1788485654378,72714,13987,12.58,11399.04,10,32,false,79085,0
drm,3,5,J05_cg,cg,32,4,19.698,87.101,1788485668866,87202,11184,9.81,14611.53,32,32,false,79163,0
drm,3,5,J05_cg,cg,32,5,19.698,87.101,1788485680551,98887,7127,6.17,23245.39,16,32,false,79203,0
drm,3,5,J05_cg,cg,32,6,19.698,87.101,1788485688179,106515,4423,3.63,39507.8,32,32,true,79240,0
drm,3,6,J06_ep,ep,32,1,21.026,44.272,1788485602690,21026,48193,48.03,178.84,6,32,true,78785,0
nodrm,3,1,J01_ft,ft,32,1,0.0,48.123,1788485702614,4,4629,4.26,93004.47,32,32,false,79357,0
nodrm,3,1,J01_ft,ft,32,2,0.0,48.123,1788485707744,5134,5576,5.23,75836.47,32,32,false,79389,0
nodrm,3,1,J01_ft,ft,32,3,0.0,48.123,1788485713821,11211,22604,21.77,18204.9,32,32,false,79458,0
nodrm,3,1,J01_ft,ft,32,4,0.0,48.123,1788485736925,34316,25661,24.03,16494.14,32,32,true,79664,0
nodrm,3,2,J02_ep,ep,32,1,8.999,77.355,1788485711609,8999,10437,10.23,839.95,32,32,false,79425,0
nodrm,3,2,J02_ep,ep,32,2,8.999,77.355,1788485722548,19938,21151,20.95,410.09,32,32,false,79598,0
nodrm,3,2,J02_ep,ep,32,3,8.999,77.355,1788485744200,41590,21901,21.69,396.06,32,32,false,79731,0
nodrm,3,2,J02_ep,ep,32,4,8.999,77.355,1788485766601,63992,20298,20.16,426.15,32,32,false,79816,0
nodrm,3,2,J02_ep,ep,32,5,8.999,77.355,1788485787400,84790,11085,10.94,784.93,32,32,true,79896,0
nodrm,3,3,J03_ft,ft,32,1,13.099,54.571,1788485715709,13099,24259,23.08,17177.47,32,32,false,79490,0
nodrm,3,3,J03_ft,ft,32,2,13.099,54.571,1788485740469,37860,25761,23.8,16654.87,32,32,false,79699,0
nodrm,3,3,J03_ft,ft,32,3,13.099,54.571,1788485766732,64122,22400,20.49,19342.85,32,32,true,79851,0
nodrm,3,4,J04_cg,cg,32,1,13.773,47.096,1788485716383,13773,81049,77.29,1854.64,32,32,true,79522,0
nodrm,3,5,J05_cg,cg,32,1,19.698,87.101,1788485722308,19698,75836,69.05,2076.1,32,32,false,79566,0
nodrm,3,5,J05_cg,cg,32,2,19.698,87.101,1788485798645,96035,4273,3.76,38162.08,32,32,false,79928,0
nodrm,3,5,J05_cg,cg,32,3,19.698,87.101,1788485803419,100809,4473,3.96,36161.59,32,32,false,79962,0
nodrm,3,5,J05_cg,cg,32,4,19.698,87.101,1788485808393,105783,4423,3.92,36541.52,32,32,true,80009,0
nodrm,3,6,J06_ep,ep,32,1,21.026,44.272,1788485723636,21026,22004,21.71,395.63,32,32,false,79630,0
nodrm,3,6,J06_ep,ep,32,2,21.026,44.272,1788485746141,43531,23107,22.87,375.67,32,32,true,79763,0
