Linux 6.4.0-150600.23.25-default (cm4r15c03s05) 	04/12/26 	_x86_64_	(224 CPU)

21:26:53      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:08    4432689    192635         -    0.00    0.20    0.00    0.00    0.20   184  mpstat
21:27:08    4432689         -    192635    0.00    0.20    0.00    0.00    0.20   184  |__mpstat
21:27:08    4432689    192636         -    0.80    1.60    0.00    0.00    2.40   121  pidstat
21:27:08    4432689         -    192636    0.80    1.60    0.00    0.00    2.40   121  |__pidstat
21:27:08    4432689    192890         -   99.80    0.00    0.00   50.00   99.80    56  ft.C.x
21:27:08    4432689         -    192890   49.80    0.00    0.00   50.00   49.80    56  |__ft.C.x
21:27:08    4432689         -    192898   49.80    0.00    0.00   50.00   49.80    72  |__openmp_worker
21:27:08    4432689    192891         -  100.00    0.20    0.00   49.80  100.20    56  ft.C.x
21:27:08    4432689         -    192891   50.20    0.00    0.00   49.80   50.20    56  |__ft.C.x
21:27:08    4432689         -    192899   49.80    0.20    0.00   49.80   50.00    72  |__openmp_worker
21:27:08    4432689    192892         -   99.80    0.00    0.00    0.00   99.80     3  ft.C.x
21:27:08    4432689         -    192892  100.00    0.00    0.00    0.00  100.00     3  |__ft.C.x
21:27:08    4432689    192893         -   99.80    0.20    0.00    0.00  100.00     1  ft.C.x
21:27:08    4432689         -    192893  100.00    0.00    0.00    0.00  100.00     1  |__ft.C.x

21:27:08      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:13        0         -        17    0.00    0.20    0.00    0.00    0.20    12  |__rcu_preempt
21:27:13        0       746         -    0.00    0.20    0.00    0.00    0.20   121  ksoftirqd/121
21:27:13        0     11966         -    0.40    0.00    0.00    0.00    0.40   172  mmfsd
21:27:13        0         -     13153    0.20    0.00    0.00    0.00    0.20   164  |__mmfsd
21:27:13        0         -     13629    0.20    0.00    0.00    0.00    0.20   218  |__mmfsd
21:27:13        0         -    220498    0.00    0.20    0.00    0.00    0.20    30  |__mmfsd
21:27:13        0     84322         -    0.00    0.20    0.00    0.00    0.20   172  kworker/172:2-events
21:27:13        0         -     84322    0.00    0.20    0.00    0.00    0.20   172  |__kworker/172:2-events
21:27:13        0     85959         -    0.00    0.20    0.00    0.00    0.20   133  kworker/133:0-events
21:27:13        0    181200         -    0.00    0.20    0.00    0.00    0.20     1  kworker/1:1-events
21:27:13    4432689    192635         -    0.00    0.20    0.00    0.00    0.20   184  mpstat
21:27:13    4432689         -    192635    0.00    0.20    0.00    0.00    0.20   184  |__mpstat
21:27:13    4432689    192636         -    0.80    1.40    0.00    0.00    2.20   121  pidstat
21:27:13    4432689         -    192636    0.80    1.40    0.00    0.00    2.20   121  |__pidstat
21:27:13    4432689    192890         -  100.20    0.00    0.00   50.00  100.20    56  ft.C.x
21:27:13    4432689         -    192890   50.00    0.00    0.00   50.00   50.00    56  |__ft.C.x
21:27:13    4432689         -    192898   50.20    0.00    0.00   49.80   50.20    72  |__openmp_worker
21:27:13    4432689    192891         -   99.80    0.00    0.00   50.20   99.80    56  ft.C.x
21:27:13    4432689         -    192891   50.00    0.00    0.00   50.20   50.00    56  |__ft.C.x
21:27:13    4432689         -    192899   50.00    0.00    0.00   49.80   50.00    72  |__openmp_worker
21:27:13    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:13    4432689         -    192892  100.00    0.00    0.00    0.00  100.00     3  |__ft.C.x
21:27:13    4432689    192893         -  100.00    0.00    0.00    0.00  100.00     1  ft.C.x
21:27:13    4432689         -    192893  100.00    0.00    0.00    0.00  100.00     1  |__ft.C.x

21:27:13      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:18        0         -        16    0.00    0.20    0.00    0.00    0.20     0  |__ksoftirqd/0
21:27:18        0        17         -    0.00    0.20    0.00    0.00    0.20    12  rcu_preempt
21:27:18        0         -        17    0.00    0.20    0.00    0.00    0.20    12  |__rcu_preempt
21:27:18        0         -       746    0.00    0.20    0.00    0.00    0.20   121  |__ksoftirqd/121
21:27:18        0     11966         -    0.20    0.20    0.00    0.00    0.40   172  mmfsd
21:27:18        0         -     13659    0.20    0.00    0.00    0.00    0.20   135  |__mmfsd
21:27:18        0         -    220498    0.20    0.00    0.00    0.00    0.20    30  |__mmfsd
21:27:18        0         -    220637    0.20    0.00    0.00    0.00    0.20   131  |__mmfsd
21:27:18        0    136977         -    0.00    0.20    0.00    0.00    0.20    12  kworker/12:0-events
21:27:18        0    183622         -    0.00    0.20    0.00    0.00    0.20    56  kworker/56:1-events
21:27:18    4432689    192635         -    0.00    0.20    0.00    0.00    0.20   184  mpstat
21:27:18    4432689         -    192635    0.00    0.20    0.00    0.00    0.20   184  |__mpstat
21:27:18    4432689    192636         -    0.60    1.80    0.00    0.00    2.40   121  pidstat
21:27:18    4432689         -    192636    0.60    1.80    0.00    0.00    2.40   121  |__pidstat
21:27:18    4432689    192890         -  100.00    0.00    0.00   50.00  100.00    56  ft.C.x
21:27:18    4432689         -    192890   50.20    0.00    0.00   50.00   50.20    56  |__ft.C.x
21:27:18    4432689         -    192898   50.00    0.00    0.00   50.00   50.00    72  |__openmp_worker
21:27:18    4432689    192891         -   99.80    0.00    0.00   50.00   99.80    56  ft.C.x
21:27:18    4432689         -    192891   49.80    0.00    0.00   50.00   49.80    56  |__ft.C.x
21:27:18    4432689         -    192899   49.80    0.00    0.00   50.00   49.80    72  |__openmp_worker
21:27:18    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:18    4432689         -    192892  100.00    0.00    0.00    0.00  100.00     3  |__ft.C.x
21:27:18    4432689    192893         -  100.00    0.00    0.00    0.00  100.00     1  ft.C.x
21:27:18    4432689         -    192893  100.00    0.00    0.00    0.00  100.00     1  |__ft.C.x

21:27:18      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:23        0        17         -    0.00    0.20    0.00    0.00    0.20    12  rcu_preempt
21:27:23        0         -        17    0.00    0.20    0.00    0.00    0.20    12  |__rcu_preempt
21:27:23        0     11966         -    0.20    0.20    0.00    0.00    0.40   172  mmfsd
21:27:23        0         -     13079    0.00    0.20    0.00    0.00    0.20   123  |__mmfsd
21:27:23        0         -     13698    0.20    0.00    0.00    0.00    0.20   141  |__mmfsd
21:27:23        0         -     85959    0.00    0.20    0.00    0.00    0.20   133  |__kworker/133:0-events
21:27:23        0    192289         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:3-events
21:27:23        0         -    192289    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:3-events
21:27:23        0    192610         -    0.20    0.00    0.00    0.00    0.20     2  slurmstepd
21:27:23    4432689    192635         -    0.20    0.20    0.00    0.00    0.40   184  mpstat
21:27:23    4432689         -    192635    0.20    0.20    0.00    0.00    0.40   184  |__mpstat
21:27:23    4432689    192636         -    0.60    1.60    0.00    0.00    2.20   121  pidstat
21:27:23    4432689         -    192636    0.60    1.60    0.00    0.00    2.20   121  |__pidstat
21:27:23        0    192646         -    0.20    0.00    0.00    0.00    0.20     2  slurmstepd
21:27:23    4432689    192890         -   99.80    0.00    0.00   50.20   99.80    56  ft.C.x
21:27:23    4432689         -    192890   49.80    0.00    0.00   50.20   49.80    56  |__ft.C.x
21:27:23    4432689         -    192898   50.00    0.00    0.00   50.00   50.00    72  |__openmp_worker
21:27:23    4432689    192891         -  100.20    0.00    0.00   49.80  100.20    56  ft.C.x
21:27:23    4432689         -    192891   50.20    0.00    0.00   49.80   50.20    56  |__ft.C.x
21:27:23    4432689         -    192899   50.00    0.00    0.00   50.00   50.00    72  |__openmp_worker
21:27:23    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:23    4432689         -    192892   99.80    0.00    0.00    0.00   99.80     3  |__ft.C.x
21:27:23    4432689    192893         -  100.00    0.00    0.00    0.00  100.00     1  ft.C.x
21:27:23    4432689         -    192893  100.00    0.00    0.00    0.00  100.00     1  |__ft.C.x

21:27:23      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:28        0        17         -    0.00    0.20    0.00    0.00    0.20     4  rcu_preempt
21:27:28        0         -        17    0.00    0.20    0.00    0.00    0.20     4  |__rcu_preempt
21:27:28        0     11966         -    0.20    0.20    0.00    0.00    0.40   172  mmfsd
21:27:28        0         -     13153    0.20    0.00    0.00    0.00    0.20   164  |__mmfsd
21:27:28        0         -     13690    0.00    0.20    0.00    0.00    0.20   136  |__mmfsd
21:27:28        0    122759         -    0.20    0.00    0.00    0.00    0.20    72  kworker/72:0-events
21:27:28        0         -    122759    0.20    0.00    0.00    0.00    0.20    72  |__kworker/72:0-events
21:27:28        0         -    178071    0.00    0.20    0.00    0.00    0.20   164  |__kworker/u448:2-ipoib_wq
21:27:28        0         -    181200    0.00    0.20    0.00    0.00    0.20     1  |__kworker/1:1-events
21:27:28    4432689    192635         -    0.00    0.20    0.00    0.00    0.20   184  mpstat
21:27:28    4432689         -    192635    0.00    0.20    0.00    0.00    0.20   184  |__mpstat
21:27:28    4432689    192636         -    0.60    1.80    0.00    0.20    2.40   121  pidstat
21:27:28    4432689         -    192636    0.60    1.80    0.00    0.20    2.40   121  |__pidstat
21:27:28    4432689    192890         -  100.00    0.00    0.00   50.00  100.00    56  ft.C.x
21:27:28    4432689         -    192890   50.00    0.00    0.00   50.00   50.00    56  |__ft.C.x
21:27:28    4432689         -    192898   49.80    0.00    0.00   50.20   49.80    72  |__openmp_worker
21:27:28    4432689    192891         -   99.80    0.00    0.00   50.20   99.80    56  ft.C.x
21:27:28    4432689         -    192891   49.80    0.00    0.00   50.20   49.80    56  |__ft.C.x
21:27:28    4432689         -    192899   50.00    0.00    0.00   50.00   50.00    72  |__openmp_worker
21:27:28    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:28    4432689         -    192892  100.00    0.00    0.00    0.00  100.00     3  |__ft.C.x
21:27:28    4432689    192893         -  100.00    0.00    0.00    0.00  100.00     1  ft.C.x
21:27:28    4432689         -    192893   99.80    0.00    0.00    0.00   99.80     1  |__ft.C.x

21:27:28      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:33        0        17         -    0.00    0.20    0.00    0.20    0.20     4  rcu_preempt
21:27:33        0         -        17    0.00    0.20    0.00    0.20    0.20     4  |__rcu_preempt
21:27:33        0     11966         -    0.00    0.20    0.00    0.00    0.20   172  mmfsd
21:27:33        0         -     13636    0.20    0.00    0.00    0.00    0.20   127  |__mmfsd
21:27:33        0         -     13648    0.00    0.20    0.00    0.00    0.20   139  |__mmfsd
21:27:33        0    178071         -    0.00    0.20    0.00    0.00    0.20   164  kworker/u448:2-ipoib_wq
21:27:33        0         -    183622    0.00    0.20    0.00    0.00    0.20    56  |__kworker/56:1-events
21:27:33    4432689    192635         -    0.00    0.20    0.00    0.00    0.20   184  mpstat
21:27:33    4432689         -    192635    0.00    0.20    0.00    0.00    0.20   184  |__mpstat
21:27:33    4432689    192636         -    0.60    1.80    0.00    0.00    2.40     9  pidstat
21:27:33    4432689         -    192636    0.60    1.80    0.00    0.00    2.40     9  |__pidstat
21:27:33    4432689    192890         -  100.20    0.00    0.00   50.00  100.20    56  ft.C.x
21:27:33    4432689         -    192890   50.00    0.00    0.00   50.00   50.00    56  |__ft.C.x
21:27:33    4432689         -    192898   50.20    0.00    0.00   49.80   50.20    72  |__openmp_worker
21:27:33    4432689    192891         -   99.80    0.00    0.00   50.00   99.80    56  ft.C.x
21:27:33    4432689         -    192891   50.00    0.00    0.00   50.00   50.00    56  |__ft.C.x
21:27:33    4432689         -    192899   50.00    0.00    0.00   50.00   50.00    72  |__openmp_worker
21:27:33    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:33    4432689         -    192892  100.00    0.00    0.00    0.00  100.00     3  |__ft.C.x
21:27:33    4432689    192893         -  100.00    0.00    0.00    0.00  100.00     1  ft.C.x
21:27:33    4432689         -    192893  100.20    0.00    0.00    0.00  100.20     1  |__ft.C.x

21:27:33      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:38        0        17         -    0.00    0.20    0.00    0.00    0.20     8  rcu_preempt
21:27:38        0     10113         -    0.40    0.40    0.00    0.00    0.80   203  mmsysmon.py
21:27:38        0         -     12388    0.20    0.00    0.00    0.00    0.20   215  |__NMES
21:27:38        0         -     14111    0.00    0.20    0.00    0.00    0.20   114  |__ET_gpfs
21:27:38        0         -     14113    0.00    0.20    0.00    0.00    0.20   140  |__ET_filesystem
21:27:38        0         -     14114    0.20    0.00    0.00    0.00    0.20   142  |__ET_network
21:27:38        0     11966         -    0.20    0.20    0.00    0.00    0.40   172  mmfsd
21:27:38        0         -     13081    0.20    0.00    0.00    0.00    0.20   146  |__mmfsd
21:27:38        0     85959         -    0.00    0.20    0.00    0.00    0.20   133  kworker/133:0-events
21:27:38        0    169715         -    0.00    0.20    0.00    0.00    0.20     3  kworker/3:0-events
21:27:38        0    180882         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:2-events
21:27:38        0         -    180882    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:2-events
21:27:38    4432689    192635         -    0.00    0.20    0.00    0.00    0.20   184  mpstat
21:27:38    4432689         -    192635    0.00    0.20    0.00    0.00    0.20   184  |__mpstat
21:27:38    4432689    192636         -    0.80    1.40    0.00    0.00    2.20   121  pidstat
21:27:38    4432689         -    192636    0.80    1.40    0.00    0.00    2.20   121  |__pidstat
21:27:38    4432689    192890         -   99.60    0.00    0.00   50.00   99.60    56  ft.C.x
21:27:38    4432689         -    192890   49.80    0.00    0.00   50.00   49.80    56  |__ft.C.x
21:27:38    4432689         -    192898   49.80    0.00    0.00   50.00   49.80    72  |__openmp_worker
21:27:38    4432689    192891         -  100.00    0.20    0.00   49.80  100.20    56  ft.C.x
