Linux 6.4.0-150600.23.25-default (cm4r15c01s07) 	06/01/26 	_x86_64_	(224 CPU)

13:44:38      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:44:43        0    112769         -    0.00    0.19    0.00    0.00    0.19    75  kworker/75:2-events
13:44:43        0         -    112769    0.00    0.19    0.00    0.00    0.19    75  |__kworker/75:2-events
13:44:43        0    120559         -    0.00    0.19    0.00    0.00    0.19    86  kworker/86:0-events
13:44:43        0         -    120560    0.00    0.19    0.00    0.00    0.19    85  |__kworker/85:2-events
13:44:43        0         -    129144    0.00    0.19    0.00    0.00    0.19    58  |__kworker/58:0-events
13:44:43        0    204234         -    0.19    0.00    0.00    0.00    0.19    14  kworker/14:1-events
13:44:43        0         -    204234    0.19    0.00    0.00    0.00    0.19    14  |__kworker/14:1-events
13:44:43        0    219240         -    0.19    0.00    0.00    0.00    0.19    32  kworker/32:1-events
13:44:43        0         -    219240    0.19    0.00    0.00    0.00    0.19    32  |__kworker/32:1-events

13:44:43      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:44:48        0         1         -    0.20    0.20    0.00    0.00    0.40   162  systemd
13:44:48        0         -         1    0.20    0.20    0.00    0.00    0.40   162  |__systemd
13:44:48        0         2         -    0.00    0.20    0.00    0.00    0.20   160  kthreadd
13:44:48        0         -         2    0.00    0.20    0.00    0.00    0.20   160  |__kthreadd
13:44:48        0         -        16    0.00    0.20    0.00    0.00    0.20     0  |__ksoftirqd/0
13:44:48        0         -        42    0.00    0.20    0.00    0.00    0.20     4  |__ksoftirqd/4
13:44:48      499      3624         -    0.40    0.00    0.00    0.00    0.40    50  dbus-daemon
13:44:48      499         -      3624    0.40    0.00    0.00    0.00    0.40    50  |__dbus-daemon
13:44:48        0      3633         -    0.20    0.00    0.00    0.00    0.20   166  systemd-machine
13:44:48        0         -      3633    0.20    0.00    0.00    0.00    0.20   166  |__systemd-machine
13:44:48        0      3741         -    0.20    0.00    0.00    0.00    0.20   163  systemd-logind
13:44:48        0     11869         -    0.40    0.20    0.00    0.00    0.60   104  python3.11
13:44:48        0         -     15909    0.20    0.00    0.00    0.00    0.20    55  |__ET_gpfs
13:44:48        0         -     15910    0.20    0.00    0.00    0.00    0.20   164  |__ET_network
13:44:48        0         -     15918    0.20    0.00    0.00    0.00    0.20   220  |__ET_filesystem
13:44:48        0     14448         -    0.00    0.20    0.00    0.00    0.20    84  kworker/84:2-events
13:44:48        0     14561         -    0.20    0.40    0.00    0.00    0.60   106  mmfsd
13:44:48        0         -     16259    0.20    0.00    0.00    0.00    0.20   111  |__mmfsd
13:44:48        0         -     16273    0.00    0.20    0.00    0.00    0.20   165  |__mmfsd
13:44:48        0         -     21524    0.00    0.20    0.00    0.00    0.20    53  |__mmfsd
13:44:48        0         -     21532    0.00    0.20    0.00    0.00    0.20    50  |__mmfsd
13:44:48        0     14637         -    0.00    0.20    0.00    0.00    0.20    79  kworker/79:0-events
13:44:48        0         -     14637    0.00    0.20    0.00    0.00    0.20    79  |__kworker/79:0-events
13:44:48        0     16654         -    0.00    0.20    0.00    0.00    0.20    81  kworker/81:0-events
13:44:48        0     17680         -    0.00    0.20    0.00    0.00    0.20    87  kworker/87:1-events
13:44:48        0     32451         -    0.20    0.00    0.00    0.00    0.20    76  kworker/76:1-events
13:44:48        0         -     32451    0.20    0.00    0.00    0.00    0.20    76  |__kworker/76:1-events
13:44:48        0         -     32452    0.00    0.20    0.00    0.00    0.20    73  |__kworker/73:1-events
13:44:48        0     35124         -    0.00    0.20    0.00    0.00    0.20    54  kworker/u448:2-ipoib_wq
13:44:48        0         -     35124    0.00    0.20    0.00    0.00    0.20    54  |__kworker/u448:2-ipoib_wq
13:44:48        0     36335         -    0.20    0.00    0.00    0.00    0.20    25  kworker/25:0-events
13:44:48        0         -     36335    0.20    0.00    0.00    0.00    0.20    25  |__kworker/25:0-events
13:44:48    4432689     36761         -    0.00    0.20    0.00    0.00    0.20   120  mpstat
13:44:48    4432689         -     36761    0.00    0.20    0.00    0.00    0.20   120  |__mpstat
13:44:48    4432689     36762         -    0.80    2.00    0.00    0.00    2.80   122  pidstat
13:44:48    4432689         -     36762    0.80    2.00    0.00    0.00    2.80   122  |__pidstat
13:44:48    4432689     36926         - 1590.20   32.20    0.00    0.00 1622.40    32  ft.C.x
13:44:48    4432689         -     36926   94.80    1.20    0.00    0.00   96.00    32  |__ft.C.x
13:44:48    4432689         -     36927   94.80    0.80    0.00    0.00   95.60     1  |__openmp_worker
13:44:48    4432689         -     36929   94.80    1.00    0.00    0.00   95.80     2  |__openmp_worker
13:44:48    4432689         -     36930   94.80    1.00    0.00    0.00   95.80     3  |__openmp_worker
13:44:48    4432689         -     36931   94.80    1.00    0.00    0.00   95.80     6  |__openmp_worker
13:44:48    4432689         -     36932   94.80    0.80    0.00    0.00   95.60     9  |__openmp_worker
13:44:48    4432689         -     36933   94.80    0.80    0.00    0.00   95.60    17  |__openmp_worker
13:44:48    4432689         -     36934   94.80    0.80    0.00    0.00   95.60    18  |__openmp_worker
13:44:48    4432689         -     36935   94.80    0.80    0.00    0.00   95.60    19  |__openmp_worker
13:44:48    4432689         -     36936   94.80    0.80    0.00    0.00   95.60    20  |__openmp_worker
13:44:48    4432689         -     36937   95.00    0.60    0.00    0.00   95.60    21  |__openmp_worker
13:44:48    4432689         -     36938   94.60    1.00    0.00    0.00   95.60    23  |__openmp_worker
13:44:48    4432689         -     36939   94.80    0.80    0.00    0.00   95.60    25  |__openmp_worker
13:44:48    4432689         -     36940   94.80    0.80    0.00    0.00   95.60    26  |__openmp_worker
13:44:48    4432689         -     36941   95.00    0.60    0.00    0.00   95.60    28  |__openmp_worker
